시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,카메라 설치여부(CCTV),카메라 설치대수(CCTV),보호구역도로폭,데이터기준일자
초등학교,신길초등학교,서울특별시 동작구 알마타길 16,서울특별시 동작구 대방동 산28,37.51007796,126.9262919,서울특별시 동작구청,동작경찰서,Y,5,6~13,2020-02-06
초등학교,신남성초등학교,서울특별시 동작구 사당로 146,서울특별시 동작구 사당5동 418-1,37.48815083,126.9648709,서울특별시 동작구청,동작경찰서,Y,3,5~7,2020-02-06
초등학교,영본초등학교,서울특별시 동작구 만양로12가길 69,서울특별시 동작구 본동 441-11,37.51129715,126.9486722,서울특별시 동작구청,동작경찰서,Y,3,3~15,2020-02-06
초등학교,영화초등학교,서울특별시 동작구 등용로8길 3,서울특별시 동작구 대방동 44-3,37.50890703,126.9329751,서울특별시 동작구청,동작경찰서,Y,2,12~18,2020-02-06
초등학교,은로초등학교,서울특별시 동작구 서달로 115,서울특별시 동작구 흑석1동 245,37.5031946,126.9600008,서울특별시 동작구청,동작경찰서,Y,2,5~11,2020-02-06
초등학교,중대부속초등학교,서울특별시 동작구 서달로 135,서울특별시 동작구 흑석1동 233,37.5054521,126.9596784,서울특별시 동작구청,동작경찰서,Y,3,4~15,2020-02-06
초등학교,행림초등학교,서울특별시 동작구 솔밭로 61-6,서울특별시 동작구 사당5동 236-4,37.48221173,126.9660323,서울특별시 동작구청,동작경찰서,Y,2,3~16,2020-02-06
초등학교,흑석초등학교,서울특별시 동작구 현충로 87,서울특별시 동작구 흑석동 7-1,37.5082938,126.9651329,서울특별시 동작구청,동작경찰서,Y,6,10~28,2020-02-06
초등학교,상현초등학교,서울특별시 동작구 상도로58길 21,서울특별시 동작구 상도동 134-600,37.49487529,126.9526684,서울특별시 동작구청,동작경찰서,Y,2,6,2020-02-06
유치원,동그라미유치원,서울특별시 동작구 사당로28길 34,서울특별시 동작구 상도4동 212-128,37.4816149,126.9793688,서울특별시 동작구청,동작경찰서,Y,1,3~6,2020-02-06
유치원,동아유치원,서울특별시 동작구 만양로3길 48,서울특별시 동작구 노량진동 325-1,37.50835746,126.9433211,서울특별시 동작구청,동작경찰서,Y,1,15,2020-02-06
유치원,명수유치원,서울특별시 동작구 흑석로13길 3,서울특별시 동작구 흑석동 186,37.50937692,126.9597893,서울특별시 동작구청,동작경찰서,Y,1,6~8,2020-02-06
유치원,벧엘유치원,서울특별시 동작구 장승배기로20길 46-3,서울특별시 동작구 노량진1동 225-57,37.50934081,126.9422402,서울특별시 동작구청,동작경찰서,Y,3,4~5,2020-02-06
유치원,사랑유치원,서울특별시 동작구 여의대방로24나길 6,서울특별시 동작구 대방동 414-3,37.49840123,126.9211621,서울특별시 동작구청,동작경찰서,Y,1,12~17,2020-02-06
유치원,상아유치원,서울특별시 동작구 양녕로26길 15,서울특별시 동작구 상도4동 211-1,37.4975519,126.9446241,서울특별시 동작구청,동작경찰서,Y,1,7~9,2020-02-06
